2022-07-18 00:49:38.843 [restartedMain] INFO  com.xian.eduservice.EduApplication - Started EduApplication in 40.561 seconds (JVM running for 44.641)
2022-07-18 00:49:38.854 [restartedMain] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=service-edu-dev.yaml, group=ONLINE_EDUCATION
2022-07-18 00:49:38.855 [restartedMain] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=service-edu.yaml, group=ONLINE_EDUCATION
2022-07-18 00:49:38.856 [restartedMain] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=service-edu, group=ONLINE_EDUCATION
2022-07-18 01:00:00.016 [scheduling-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-07-18 01:00:00.995 [scheduling-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-07-18 01:00:01.006 [scheduling-1] INFO  com.xian.eduservice.schedule.VideoTasks - start to update video play Count...
2022-07-18 01:00:03.459 [scheduling-1] INFO  com.xian.eduservice.schedule.VideoTasks - update view Count finish! 
2022-07-18 01:00:03.467 [scheduling-1] INFO  com.xian.eduservice.schedule.CourseTasks - start to update course view count...
2022-07-18 01:00:03.666 [scheduling-1] INFO  com.xian.eduservice.schedule.CourseTasks - update course view count finish
2022-07-18 01:00:03.666 [scheduling-1] INFO  com.xian.eduservice.schedule.CourseTasks - start to update course buy count...
2022-07-18 01:00:03.753 [scheduling-1] INFO  com.xian.eduservice.schedule.CourseTasks - update course buy count finish
2022-07-18 01:02:12.685 [http-nio-8001-exec-3] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-07-18 01:02:12.686 [http-nio-8001-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-07-18 01:02:12.688 [http-nio-8001-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2022-07-18 01:11:29.883 [lettuce-eventExecutorLoop-1-1] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was /121.40.219.144:6379
2022-07-18 01:11:29.981 [lettuce-nioEventLoop-4-2] INFO  io.lettuce.core.protocol.ReconnectionHandler - Reconnected to 121.40.219.144:6379
2022-07-18 01:23:23.277 [lettuce-eventExecutorLoop-1-6] INFO  io.lettuce.core.protocol.ConnectionWatchdog - Reconnecting, last destination was /121.40.219.144:6379
2022-07-18 01:23:23.376 [lettuce-nioEventLoop-4-3] INFO  io.lettuce.core.protocol.ReconnectionHandler - Reconnected to 121.40.219.144:6379
2022-07-18 16:13:06.532 [restartedMain] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-service-edu-dev.yaml,ONLINE_EDUCATION'}, BootstrapPropertySource {name='bootstrapProperties-service-edu.yaml,ONLINE_EDUCATION'}, BootstrapPropertySource {name='bootstrapProperties-service-edu,ONLINE_EDUCATION'}]
2022-07-18 16:13:06.542 [restartedMain] INFO  com.xian.eduservice.EduApplication - The following 1 profile is active: "dev"
2022-07-18 16:13:09.100 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-07-18 16:13:09.106 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-07-18 16:13:09.171 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29 ms. Found 0 Redis repository interfaces.
2022-07-18 16:13:10.132 [restartedMain] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=878950d3-6a73-3c17-89f2-5cf7fd3a706e
2022-07-18 16:13:11.556 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration' of type [org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-07-18 16:13:11.573 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-07-18 16:13:11.580 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'loadBalancerClientsDefaultsMappingsProvider' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration$$Lambda$478/1912135981] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-07-18 16:13:11.627 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'defaultsBindHandlerAdvisor' of type [org.springframework.cloud.commons.config.DefaultsBindHandlerAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-07-18 16:13:11.666 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.cloud.sentinel-com.alibaba.cloud.sentinel.SentinelProperties' of type [com.alibaba.cloud.sentinel.SentinelProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-07-18 16:13:11.685 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration' of type [com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-07-18 16:13:13.749 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2022-07-18 16:13:13.752 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.30] using APR version [1.7.0].
