2022-07-11 09:52:59.568 [Thread-126] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registration finished.
2022-07-11 09:53:09.511 [restartedMain] INFO  com.xian.eduservice.EduApplication - Starting EduApplication using Java 1.8.0_102 on LAPTOP-PN2G1EN8 with PID 11204 (E:\BootProject\guli_parent\service\service_edu\target\classes started by Xian in E:\BootProject\guli_parent)
2022-07-11 09:53:09.511 [restartedMain] INFO  com.xian.eduservice.EduApplication - The following 1 profile is active: "dev"
2022-07-11 09:53:10.543 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-07-11 09:53:10.544 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-07-11 09:53:10.555 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2022-07-11 09:53:10.684 [restartedMain] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=6313518e-1975-3404-8fe4-ea46f3c7cd6a
2022-07-11 09:53:10.765 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration' of type [org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-07-11 09:53:10.768 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-07-11 09:53:10.770 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'loadBalancerClientsDefaultsMappingsProvider' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration$$Lambda$464/664572727] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
